client_id,client_name,portfolio_manager_id,country,segment,industry,revenue,last_contact_date,churn_risk
1,Client_1,62,DE,Mid-Market,Commodity Trading,15343.06333450454,2025-11-29 12:16:58.708747,0.607271587302809
2,Client_2,40,DE,Mid-Market,IT,17253.501770554936,2025-12-18 12:16:58.708788,0.5594572069775786
3,Client_3,80,AT,Mid-Market,Retail,10630.459049902556,2025-11-08 12:16:58.708800,0.32299395151810606
4,Client_4,53,FR,Mid-Market,Consulting,13128.95444653625,2025-12-14 12:16:58.708808,0.5518460412981523
5,Client_5,24,AT,Mid-Market,Manufacturing,10731.866796736464,2026-01-24 12:16:58.708815,0.6155907193067949
6,Client_6,26,ES,Mid-Market,SaaS,15579.462129676003,2025-11-19 12:16:58.708821,0.17920475984136686
7,Client_7,60,DE,Mid-Market,Commodity Trading,20305.730778518457,2025-12-14 12:16:58.708827,0.7358679195411881
8,Client_8,41,NL,SME,Retail,13319.859908624854,2025-12-01 12:16:58.708833,0.39293299460414277
9,Client_9,29,ES,SME,Consulting,16678.080222108434,2025-11-06 12:16:58.708839,0.7422757100941076
10,Client_10,15,DE,Mid-Market,Manufacturing,14689.671407587673,2026-01-05 12:16:58.708845,0.17771058083616575
11,Client_11,45,BE,Mid-Market,IT,15431.76395217557,2025-12-27 12:16:58.708851,0.6565207785931311
12,Client_12,65,SE,Mid-Market,Consulting,12536.300700363081,2025-11-26 12:16:58.708857,0.026883245418893087
13,Client_13,71,IE,SME,SaaS,16289.20575759733,2026-01-20 12:16:58.708864,0.158965791913819
14,Client_14,9,ES,Mid-Market,Manufacturing,13721.362813068654,2025-11-04 12:16:58.708870,0.8911208958695791
15,Client_15,1,IE,SME,Retail,19700.100178964964,2025-11-08 12:16:58.708876,0.4614719558947551
16,Client_16,8,IE,SME,Consulting,12792.32034228694,2025-11-08 12:16:58.708881,0.5078628340736511
17,Client_17,63,DE,Mid-Market,SaaS,17261.306640663443,2025-11-04 12:16:58.708887,0.9075778198297696
18,Client_18,11,ES,SME,Consulting,20245.80843416993,2025-11-10 12:16:58.708893,0.4849334067002917
19,Client_19,8,SE,Mid-Market,Wholesale,17891.044365102018,2026-01-03 12:16:58.708899,0.6545885524249874
20,Client_20,35,BE,Mid-Market,Commodity Trading,11617.745562207067,2025-12-26 12:16:58.708905,0.22195507209100607
21,Client_21,35,IT,Mid-Market,Consulting,11332.953036298995,2025-11-23 12:16:58.708910,0.08157314487090661
22,Client_22,33,NL,SME,SaaS,15684.867658924075,2026-01-12 12:16:58.708916,0.35335176525137213
23,Client_23,5,IE,Mid-Market,Manufacturing,14510.510238161833,2025-12-04 12:16:58.708922,0.798679466935382
24,Client_24,41,SE,SME,Commodity Trading,15871.417884968418,2025-12-23 12:16:58.708928,0.44683731034942364
25,Client_25,28,PL,Mid-Market,Retail,17910.7247128408,2025-11-17 12:16:58.708934,0.1681503640130737
26,Client_26,7,PL,Mid-Market,SaaS,14587.173107943212,2025-11-09 12:16:58.708940,0.5450980290606873
27,Client_27,73,IT,Mid-Market,Commodity Trading,12438.552968601682,2026-01-21 12:16:58.708946,0.26384036074780504
28,Client_28,72,IT,Mid-Market,Wholesale,14947.490614338723,2025-11-20 12:16:58.708952,0.9466678069631789
29,Client_29,12,IT,Mid-Market,Retail,18883.01213140288,2025-11-02 12:16:58.708957,0.5774126406608378
30,Client_30,34,NL,SME,Consulting,14432.037851273848,2026-01-20 12:16:58.708963,0.9829624260749937
31,Client_31,33,NL,Mid-Market,SaaS,20779.77015187296,2026-01-25 12:16:58.708969,0.04307278581566787
32,Client_32,48,BE,Mid-Market,IT,16980.403468613673,2025-12-24 12:16:58.708975,0.01155959021842845
33,Client_33,23,IE,Mid-Market,Retail,16694.63557727044,2025-12-23 12:16:58.708980,0.477095579371546
34,Client_34,62,FR,SME,SaaS,12688.857536221509,2025-11-10 12:16:58.708987,0.8619994869954367
35,Client_35,37,PL,Mid-Market,Retail,13949.379440019151,2025-12-29 12:16:58.708992,0.5244069472831187
36,Client_36,44,DE,Mid-Market,Wholesale,15891.97240270189,2026-01-13 12:16:58.708998,0.8761866529663763
37,Client_37,35,DE,Mid-Market,Manufacturing,14235.858445511542,2025-11-21 12:16:58.709004,0.13056606645360935
38,Client_38,65,IT,Mid-Market,Retail,18108.02697237554,2025-11-02 12:16:58.709010,0.6993272848348459
39,Client_39,47,AT,SME,SaaS,14964.984904066356,2025-12-01 12:16:58.709016,0.6598773471423492
40,Client_40,78,PL,Mid-Market,Manufacturing,12555.570694985154,2025-12-31 12:16:58.709021,0.5449638147166256
41,Client_41,3,FR,SME,Commodity Trading,15383.854296207255,2025-12-17 12:16:58.709027,0.4051047939870984
