client_id,cpm_id,opportunity_stage,last_update,expected_value
1,62,Qualified,2025-12-09 12:17:14.737320,19498.758936185353
2,40,Discovery,2025-12-25 12:17:14.737344,16190.251355115155
3,80,Demo,2025-11-05 12:17:14.737354,12486.869883241516
4,53,Activated,2026-01-18 12:17:14.737360,14070.303736810345
5,24,Demo,2025-12-28 12:17:14.737366,8977.002907257109
6,26,Activated,2026-01-03 12:17:14.737372,13837.628454302585
7,60,Onboarded,2025-12-28 12:17:14.737378,22673.00377370582
8,41,Qualified,2026-01-20 12:17:14.737383,14889.435767826066
9,29,Onboarded,2026-01-04 12:17:14.737388,8912.864991739829
10,15,Onboarded,2025-11-12 12:17:14.737394,14249.728486744332
11,45,Discovery,2025-11-13 12:17:14.737399,17869.538997438958
12,65,Discovery,2025-12-06 12:17:14.737404,17818.673070546807
13,71,Onboarded,2026-01-09 12:17:14.737410,21638.531648816963
14,9,Onboarded,2025-12-31 12:17:14.737415,16871.297781067635
15,1,Closed Lost,2025-12-14 12:17:14.737420,24681.501992891706
16,8,Onboarded,2026-01-09 12:17:14.737425,9298.369674653875
17,63,Activated,2025-12-09 12:17:14.737431,25187.91501899901
18,11,Closed Lost,2025-12-02 12:17:14.737436,13797.237289324597
19,8,Onboarded,2026-01-04 12:17:14.737441,16877.924902036062
20,35,Demo,2025-11-02 12:17:14.737447,12185.619842074122
21,35,Demo,2025-11-06 12:17:14.737452,9094.997324882232
22,33,Closed Lost,2025-11-27 12:17:14.737458,13674.996452962074
23,5,Onboarded,2025-11-21 12:17:14.737463,15626.508956542391
24,41,Activated,2025-11-09 12:17:14.737469,15286.936170970645
25,28,Activated,2025-12-29 12:17:14.737474,12537.271883046515
26,7,Qualified,2025-12-04 12:17:14.737479,19787.87679716929
27,73,Discovery,2026-01-01 12:17:14.737484,16501.517930857884
28,72,Qualified,2025-11-26 12:17:14.737490,16581.190359385102
29,12,Activated,2026-01-22 12:17:14.737495,21790.04524321139
30,34,Qualified,2025-11-20 12:17:14.737500,12584.933659364082
31,33,Closed Lost,2026-01-27 12:17:14.737506,21876.47909045314
32,48,Qualified,2025-11-21 12:17:14.737511,17263.0863088869
33,23,Closed Lost,2025-12-07 12:17:14.737516,15822.04537420718
34,62,Onboarded,2026-01-13 12:17:14.737521,16048.44114482634
35,37,Qualified,2025-11-18 12:17:14.737526,16593.68131323724
36,44,Discovery,2025-12-12 12:17:14.737531,16406.43909588707
37,35,Onboarded,2025-11-01 12:17:14.737536,11526.085910900316
38,65,Qualified,2025-11-18 12:17:14.737541,23767.598733325904
39,47,Qualified,2025-12-17 12:17:14.737546,10049.610393690518
40,78,Activated,2025-12-04 12:17:14.737551,12646.25809564307
41,3,Demo,2026-01-23 12:17:14.737580,21109.636832403514
42,1,Activated,2026-01-14 12:17:14.737597,14394.277669249575
43,5,Activated,2026-01-16 12:17:14.737605,12766.25449517994
44,14,Qualified,2025-11-07 12:17:14.737611,7265.421495282789
45,27,Discovery,2025-11-15 12:17:14.737616,29094.169672559525
46,9,Qualified,2025-12-19 12:17:14.737622,13806.928669169314
47,79,Onboarded,2026-01-03 12:17:14.737627,9801.431465483447
48,15,Demo,2026-01-15 12:17:14.737632,12542.452031260573
49,42,Qualified,2025-12-02 12:17:14.737637,15795.000458319371
50,77,Onboarded,2025-10-31 12:17:14.737642,4516.877535624445
51,51,Activated,2025-12-10 12:17:14.737648,13005.780140427418
52,63,Discovery,2025-11-29 12:17:14.737653,19059.43813042865
53,52,Onboarded,2025-11-20 12:17:14.737658,16202.395543882696
54,4,Demo,2025-12-12 12:17:14.737664,10545.796227383056
55,23,Closed Lost,2026-01-22 12:17:14.737669,11317.500561866722
56,15,Discovery,2025-11-04 12:17:14.737675,9529.37002926739
57,43,Qualified,2025-10-30 12:17:14.737680,15767.39087431808
58,29,Activated,2025-12-29 12:17:14.737686,8260.026249718043
59,36,Qualified,2025-11-14 12:17:14.737692,14302.279525867847
60,13,Onboarded,2025-11-15 12:17:14.737697,10650.136852890582
61,32,Closed Lost,2025-11-08 12:17:14.737702,9173.721936823526
62,71,Demo,2025-11-29 12:17:14.737707,8369.105233535272
63,59,Qualified,2025-12-12 12:17:14.737713,10356.293655273625
64,28,Demo,2025-12-16 12:17:14.737718,5119.223286280268
65,66,Discovery,2025-11-21 12:17:14.737723,22673.643234710886
66,42,Demo,2025-11-13 12:17:14.737729,21755.520694829327
67,45,Onboarded,2026-01-23 12:17:14.737735,5737.498014537493
68,62,Qualified,2025-11-15 12:17:14.737740,17706.534851670334
69,57,Activated,2025-11-08 12:17:14.737745,10680.312045817129
70,6,Demo,2025-11-11 12:17:14.737750,10642.126978515787
71,28,Closed Lost,2026-01-09 12:17:14.737755,15692.004749754664
72,28,Qualified,2026-01-17 12:17:14.737760,28461.654311322785
73,44,Closed Lost,2026-01-04 12:17:14.737765,19817.13053789835
74,30,Onboarded,2025-12-13 12:17:14.737770,18581.13785411076
75,62,Demo,2025-11-01 12:17:14.737775,25095.34912457959
76,75,Demo,2025-11-08 12:17:14.737780,9694.488849540394
77,62,Activated,2025-11-17 12:17:14.737785,9526.743280197743
78,1,Qualified,2025-11-24 12:17:14.737792,9254.811975931681
79,27,Onboarded,2026-01-20 12:17:14.737797,15743.489263621124
80,62,Demo,2025-12-30 12:17:14.737803,14621.418323338845
81,77,Discovery,2026-01-13 12:17:14.737808,13970.188248986346
82,3,Onboarded,2025-12-30 12:17:14.737813,15462.525911446235
83,70,Onboarded,2026-01-22 12:17:14.737818,8575.706456499453
84,72,Discovery,2026-01-18 12:17:14.737823,10623.800079947609
85,27,Demo,2025-11-01 12:17:14.737828,11728.376193265842
86,9,Qualified,2025-12-27 12:17:14.737833,27331.006282564078
87,62,Onboarded,2025-11-09 12:17:14.737838,18071.349605175674
88,37,Qualified,2025-11-03 12:17:14.737843,17965.569445450536
89,51,Discovery,2025-11-21 12:17:14.737848,11643.102837429102
90,44,Closed Lost,2026-01-13 12:17:14.737853,12191.581947634053
91,24,Onboarded,2025-12-14 12:17:14.737858,23551.600525089485
92,79,Activated,2026-01-23 12:17:14.737864,8078.138321558502
93,59,Demo,2025-12-05 12:17:14.737869,20439.50156508783
94,32,Onboarded,2026-01-12 12:17:14.737875,12237.489717589637
95,52,Closed Lost,2025-11-20 12:17:14.737880,8456.092589867087
96,62,Demo,2025-11-10 12:17:14.737885,19152.657158796475
97,58,Activated,2026-01-23 12:17:14.737890,17064.83253243885
98,52,Closed Lost,2026-01-17 12:17:14.737896,7922.268106121086
99,12,Onboarded,2026-01-23 12:17:14.737901,9639.538746128701
100,39,Onboarded,2025-12-29 12:17:14.737906,27132.65656816454
101,2,Activated,2026-01-26 12:17:14.737911,16641.36800712153
102,3,Activated,2025-12-23 12:17:14.737916,14804.446686495692
103,56,Qualified,2026-01-14 12:17:14.737921,19910.510871226565
104,59,Closed Lost,2025-12-26 12:17:14.737926,12261.468652380943
105,2,Closed Lost,2025-11-28 12:17:14.737931,16178.243867801559
106,2,Discovery,2025-12-25 12:17:14.737936,16245.438712176672
107,54,Closed Lost,2026-01-05 12:17:14.737941,9845.857914568356
108,1,Qualified,2025-12-03 12:17:14.737946,13986.720839076785
109,19,Discovery,2025-12-27 12:17:14.737951,16018.85353348773
110,2,Onboarded,2026-01-23 12:17:14.737958,17064.125240283713
111,53,Activated,2026-01-03 12:17:14.737963,6164.171173847577
112,44,Closed Lost,2025-12-28 12:17:14.737968,20290.74523185526
113,32,Discovery,2026-01-21 12:17:14.737973,11869.596424735997
114,70,Onboarded,2025-11-05 12:17:14.737978,11843.72933887482
115,32,Activated,2025-11-07 12:17:14.737983,17820.802706596285
116,68,Discovery,2025-11-20 12:17:14.737989,8706.865927503532
117,55,Closed Lost,2025-11-25 12:17:14.737994,19698.665384970078
118,75,Demo,2025-11-01 12:17:14.737999,21544.07085908079
119,56,Demo,2025-11-07 12:17:14.738004,5475.118322788478
120,17,Qualified,2025-11-01 12:17:14.738009,20882.10713576367
121,38,Demo,2025-11-04 12:17:14.738014,15534.895632581509
122,24,Activated,2026-01-26 12:17:14.738020,8353.408621465802
123,69,Closed Lost,2026-01-21 12:17:14.738025,11244.88641002623
124,70,Closed Lost,2025-11-07 12:17:14.738030,21187.61849147974
125,11,Demo,2025-11-15 12:17:14.738036,19132.652759560428
126,16,Activated,2025-11-27 12:17:14.738041,20823.715132991347
127,73,Onboarded,2025-11-21 12:17:14.738046,15652.818997513123
128,59,Qualified,2025-11-13 12:17:14.738051,29964.293754915154
129,70,Onboarded,2025-11-01 12:17:14.738056,7495.9304939200865
130,80,Activated,2025-11-02 12:17:14.738062,18666.26547657308
131,3,Discovery,2025-12-24 12:17:14.738068,14652.1415853639
132,20,Qualified,2025-12-14 12:17:14.738073,15548.322667973289
133,59,Onboarded,2025-12-19 12:17:14.738078,23556.104851288263
134,36,Closed Lost,2026-01-22 12:17:14.738083,13871.7308982382
135,19,Onboarded,2025-12-31 12:17:14.738088,12774.148515877323
